view_mode	count	zoom_level
traffic	1	9
standard_hd	2	16
photo	1	16
standard	2	17,19
traffic_hd	1	12
standard	1	13
traffic	1	14
standard	1	19
traffic	1	14
photo	1	17
standard	1	17
photo	2	17
traffic_hd	1	12
photo	1	17
standard	1	16
standard_hd	1	13
traffic_hd	1	12
standard	1	14
standard_hd	5	14,13
standard	3	17,18,19
traffic_hd	1	17
standard	1	19
traffic	1	14
traffic_hd	1	17
standard	2	17,19
public_transport_hd	1	15
standard	3	18,19
traffic_hd	1	17
standard	5	17,18,14,16
standard_hd	2	18,16
traffic_hd	2	14,12
standard	1	14
standard_hd	2	15
hybrid	1	15
standard_hd	2	15
photo	1	15
traffic_hd	1	9
photo	1	16
standard_hd	1	11
standard	2	19,14
standard_hd	1	11
traffic_hd	2	8
standard	4	17,19,16
photo	1	19
hybrid	1	15
standard	1	19
photo	1	19
traffic	1	14
standard	1	18
traffic	1	14
standard	2	17,19
standard_hd	2	15
standard	2	15
standard_hd	1	15
photo	4	17,18,15,16
standard	1	18
standard_hd	1	17
standard	1	18
standard_hd	3	17,15
standard	1	16
traffic_hd	1	8
standard	2	19,14
traffic_hd	1	8
photo	1	18
standard	1	19
standard_hd	1	13
standard	1	19
traffic_hd	1	14
standard_hd	1	13
traffic_hd	1	12
standard	3	18,19
standard_hd	1	16
standard	1	16
standard_hd	2	15
standard	1	18
standard_hd	1	17
standard	3	18
traffic_hd	3	12
standard	3	18,8
standard_hd	1	13
standard	2	18,19
traffic_hd	1	8
standard	1	17
traffic_hd	1	12
standard	5	18,19
standard_hd	1	16
standard	3	18,19
traffic_hd	1	16
photo	1	18
standard	1	19
standard_hd	2	18,14
traffic_hd	1	8
photo	1	17
standard	1	14
traffic_hd	1	14
standard	1	19
hybrid	1	15
standard	3	18
standard_hd	1	16
photo	2	16
hybrid	1	15
photo	3	19,16
standard_hd	2	14
traffic_hd	2	11
standard_hd	1	16
standard	1	19
standard_hd	1	16
standard	1	18
traffic_hd	1	11
standard_hd	5	14,16,13
standard	1	19
traffic_hd	1	11
standard	2	19,14
standard_hd	1	6
standard	2	19
standard_hd	2	16
hybrid	1	15
standard_hd	1	17
photo	1	19
standard	2	15,19
traffic_hd	1	12
hybrid	1	15
traffic_hd	1	8
standard	3	17,15,14
photo	1	17
standard_hd	1	16
photo	1	17
standard_hd	1	17
standard	1	15
hybrid	1	15
standard_hd	4	16,13
traffic_hd	1	8
standard_hd	2	6,16
standard	1	19
traffic_hd	1	11
standard_hd	2	17,16
photo	1	17
standard_hd	2	17
traffic_hd	1	8
standard_hd	1	17
standard	1	19
standard_hd	8	17,16
photo	1	17
standard_hd	8	17,18,16,13
photo	2	12
standard	1	16
photo	1	12
standard_hd	2	16
photo	1	12
standard	2	18,16
traffic_hd	1	18
standard	2	18,10
traffic_hd	1	8
standard_hd	1	18
photo	1	12
public_transport_hd	1	16
standard_hd	1	16
public_transport_hd	1	16
standard_hd	2	17,9
photo	1	12
standard	1	17
standard_hd	1	19
public_transport_hd	1	16
standard_hd	1	19
traffic_hd	1	16
standard_hd	2	18
traffic_hd	1	18
standard_hd	3	18,16
standard	1	17
standard_hd	1	18
traffic_hd	2	6
standard_hd	1	15
photo	1	12
standard	2	16
traffic_hd	1	8
standard	1	16
traffic_hd	1	10
standard_hd	1	15
photo	1	13
standard_hd	1	18
standard	2	16
standard_hd	1	15
photo	1	19
standard	1	18
standard_hd	1	12
standard	2	17,18
standard_hd	2	15,12
standard	1	9
public_transport_hd	1	16
standard_hd	3	18,12
standard	4	15,19
traffic_hd	1	16
standard	5	15,19
standard_hd	1	16
standard	1	16
photo	1	18
standard_hd	1	11
standard	1	19
photo	1	18
standard_hd	2	18,16
standard	2	19,13
traffic_hd	1	18
standard	1	19
standard_hd	1	17
traffic	1	14
standard	3	17,18,19
standard_hd	2	17,18
standard	1	19
photo	1	19
standard_hd	1	17
standard	1	18
photo	3	18,12
standard	2	17,19
standard_hd	5	15,14,12
photo	1	12
standard	1	18
standard_hd	1	16
standard	3	19
standard_hd	4	17
standard	1	16
photo	1	16
standard	2	19,14
standard_hd	2	17,16
public_transport_hd	2	16
standard_hd	3	18,16
public_transport_hd	1	16
standard	2	19
public_transport_hd	1	16
standard	3	19,16
standard_hd	2	17,15
standard	1	17
standard_hd	2	17
standard	1	19
public_transport_hd	1	16
standard_hd	4	17,18
standard	1	19
public_transport_hd	1	16
traffic_hd	2	11
standard_hd	1	17
traffic_hd	1	11
standard	1	16
standard_hd	1	15
standard	1	19
standard_hd	1	15
photo	1	11
standard_hd	1	16
photo	1	11
standard	1	19
photo	3	11
standard_hd	1	12
traffic_hd	1	7
photo	1	11
standard_hd	2	15,12
standard	1	18
public_transport_hd	1	16
traffic_hd	2	7
standard_hd	2	16,12
traffic	1	13
traffic_hd	1	7
standard	2	19,14
standard_hd	1	16
traffic_hd	1	11
photo	1	18
standard_hd	1	19
traffic_hd	1	7
standard	1	17
standard_hd	1	16
standard	2	19,16
standard_hd	2	16,12
standard	1	15
standard_hd	2	16
standard	3	17,18,16
traffic_hd	1	7
standard_hd	1	16
standard	1	11
traffic_hd	1	12
photo	1	18
traffic_hd	1	7
photo	1	18
standard	1	19
standard_hd	1	19
photo	1	18
standard_hd	1	19
traffic_hd	2	7
standard	2	14,13
traffic_hd	2	12
standard	1	7
standard_hd	1	16
traffic_hd	1	7
standard	1	14
traffic_hd	2	17,7
standard	4	19,15,13
traffic	1	13
standard	1	14
photo	1	17
standard	1	19
photo	1	17
standard	3	17,19
photo	1	13
standard_hd	1	7
photo	1	13
standard_hd	1	17
standard	1	17
photo	1	13
standard	1	14
photo	2	13
standard	1	14
standard_hd	1	16
photo	1	13
standard_hd	1	17
photo	1	13
standard	1	19
photo	1	17
standard_hd	3	19,13
traffic_hd	1	13
photo	2	19,13
traffic	2	10
traffic_hd	1	10
traffic	1	16
standard	1	17
photo	3	18,15
standard_hd	1	16
traffic	1	12
photo	1	15
standard	1	15
photo	1	15
standard	1	18
traffic_hd	1	11
standard_hd	1	17
traffic_hd	1	10
standard_hd	1	17
traffic_hd	1	14
photo	1	17
standard_hd	1	19
photo	1	17
traffic	1	10
standard_hd	1	19
traffic_hd	4	10,13
standard_hd	2	13
standard	1	19
traffic_hd	1	13
standard_hd	1	19
traffic_hd	2	13
standard	2	17,18
traffic_hd	1	14
standard	1	6
traffic_hd	1	10
standard_hd	1	15
traffic_hd	1	10
standard	2	17,14
standard_hd	1	15
photo	2	18
traffic_hd	1	14
standard_hd	1	19
standard	2	19
standard_hd	1	15
photo	1	14
standard	2	15
standard_hd	2	15,10
standard	1	19
standard_hd	1	15
standard	2	19
traffic_hd	1	18
standard_hd	3	17,15,9
standard	1	14
traffic_hd	1	14
standard_hd	4	15,19
traffic_hd	1	10
traffic	1	8
standard_hd	1	17
traffic_hd	1	8
standard_hd	1	19
hybrid	1	15
standard_hd	1	19
traffic_hd	1	14
standard	1	14
traffic_hd	1	10
standard	2	16,14
standard_hd	4	19,14,15
standard	1	14
photo	1	19
standard_hd	1	14
photo	1	17
standard	1	14
standard_hd	2	19,14
standard	1	19
standard_hd	1	19
standard	1	12
photo	2	17,15
standard	1	19
photo	1	17
standard_hd	1	19
standard	2	14
standard_hd	1	19
standard	1	14
hybrid	1	15
standard	2	14
standard_hd	1	19
standard	1	19
photo	2	17
standard_hd	1	18
hybrid	1	15
photo	1	18
standard	1	18
standard_hd	1	12.882096005232
traffic	1	17
standard_hd	1	14
hybrid	1	15
photo	1	13
traffic_hd	1	12
photo	1	13
standard	1	18
standard_hd	1	19
photo	1	12
traffic_hd	1	12
standard_hd	1	16
photo	2	12
standard_hd	2	19,16
photo	1	12
standard_hd	1	18
photo	3	17,12
traffic_hd	1	12
photo	2	17
standard	1	19
photo	3	17
hybrid	1	15
photo	4	17
standard	1	17
traffic	1	16
standard	2	17,7
traffic	1	16
traffic_hd	1	15
standard	2	11,10
standard_hd	2	16
standard	1	19
photo	1	17
standard	2	16
photo	1	17
standard_hd	1	19
standard	1	14
standard_hd	1	19
photo	1	17
standard	1	19
standard_hd	1	19
standard	1	16
standard_hd	1	18
photo	1	17
standard_hd	1	18
photo	4	17
standard_hd	1	18
standard	1	18
standard_hd	3	18
standard	1	14
photo	3	17
standard	3	18,19,16
standard_hd	3	15
standard	1	19
public_transport_hd	2	16
standard	1	15
standard_hd	1	15
standard	2	19
standard_hd	1	15
standard	1	15
traffic_hd	1	15
standard	3	15,14,19
standard_hd	1	15
photo	1	18
standard_hd	2	18,19
traffic_hd	1	15
photo	1	18
standard	1	15
standard_hd	1	18
standard	1	19
standard_hd	3	17,15,19
standard	1	19
standard_hd	1	18
traffic	3	9
standard_hd	5	19,16,15,14
standard	2	18,15
photo	1	18
standard_hd	1	15
photo	3	18
standard_hd	3	15,16
standard	1	19
photo	1	18
standard_hd	2	15
photo	1	18
standard_hd	4	15
photo	1	18
standard_hd	1	15
standard	1	15
standard_hd	1	18
standard	1	17
standard_hd	2	18,16
photo	4	19,16
traffic_hd	1	12
photo	1	16
standard	1	19
photo	2	16
standard	2	19,13
traffic_hd	1	11
standard	1	18
photo	2	17,16
standard_hd	1	6
photo	1	17
standard_hd	1	14
photo	1	16
standard	1	18
photo	2	17
standard	1	18
standard_hd	1	14
photo	2	16
standard_hd	2	16,13
photo	1	16
standard_hd	2	5,14
standard	1	18
photo	2	16
standard_hd	2	11,17
photo	1	16
traffic_hd	1	15
standard	1	15
photo	1	11
traffic_hd	1	11
photo	2	16
traffic_hd	1	11
photo	1	11
standard_hd	4	17,14
photo	3	19
standard	1	18
traffic	1	15
standard	2	17
standard_hd	1	13
standard	2	17,14
standard_hd	1	13
standard	2	17,12
photo	1	14
standard_hd	2	13
traffic_hd	1	11
standard_hd	1	17
standard	1	18
standard_hd	5	17,14,13
photo	1	19
standard_hd	1	16
photo	1	11
standard	3	19
standard_hd	1	16
standard	1	14
photo	1	19
standard	1	19
traffic_hd	1	11
standard	2	19
photo	2	19,12
traffic_hd	1	14
standard	2	19,15
photo	1	19
traffic	1	18
photo	2	11,16
standard	1	16
traffic_hd	1	14
standard_hd	1	14
standard	4	19,16,14
photo	1	19
standard	3	19,16
standard_hd	1	13
photo	1	19
standard	1	17
traffic_hd	1	14
standard	1	19
photo	2	19
standard_hd	1	15
standard	2	19,14
traffic_hd	1	11
standard	2	19,16
traffic_hd	1	11
standard	1	11
public_transport_hd	1	17
standard	1	19
traffic_hd	4	11,9,10
public_transport_hd	1	17
standard	1	19
photo	2	19
standard	2	18,15
public_transport_hd	1	15
photo	1	19
traffic_hd	1	9
standard	2	19,14
photo	1	17
traffic_hd	1	11
standard	1	12
photo	1	18
traffic_hd	1	11
photo	1	17
standard	1	18
photo	1	17
traffic_hd	2	11,9
photo	6	17,18,12
standard_hd	1	14
photo	4	17
traffic_hd	1	9
standard	1	14
photo	2	17,12
standard	1	19
traffic_hd	1	9
public_transport_hd	1	17
standard	1	15
standard_hd	1	17
photo	1	11
standard	1	19
photo	3	15
standard_hd	1	16
public_transport_hd	1	17
photo	1	15
standard	1	15
photo	1	14
public_transport_hd	1	17
photo	3	14
standard	2	8,19
photo	2	19,14
traffic_hd	2	18,15
photo	1	19
public_transport_hd	1	17
standard	1	15
standard_hd	3	16
standard	2	19
photo	1	18
traffic_hd	1	18
standard_hd	1	18
traffic_hd	1	18
photo	1	14
standard_hd	2	14,16
photo	2	14
standard_hd	1	16
photo	1	14
standard_hd	2	18
photo	3	14
traffic_hd	1	10
standard	1	16
public_transport_hd	1	17
photo	1	14
standard_hd	3	6,14,16
photo	1	14
standard_hd	1	19
traffic_hd	1	18
photo	2	14
public_transport_hd	1	17
photo	5	18,14
standard_hd	1	16
photo	1	14
standard	2	19,14
photo	1	19
traffic_hd	1	16
standard	1	19
photo	1	12
traffic	1	15
photo	1	19
traffic_hd	2	16
standard	1	19
standard_hd	2	16
photo	1	19
standard	2	19,16
standard_hd	1	17
public_transport_hd	1	17
standard	1	11
standard_hd	1	19
public_transport_hd	1	17
photo	2	18,19
standard_hd	1	19
standard	1	19
photo	2	18
standard_hd	2	19,16
photo	3	16
standard_hd	1	16
photo	1	16
traffic_hd	1	16
photo	1	17
standard_hd	4	19,14,15
standard	1	17
standard_hd	1	19
standard	1	14
photo	1	19
standard_hd	5	18,16,12
standard	1	17
standard_hd	1	19
standard	4	17,19
standard_hd	2	17,18
photo	2	18
standard_hd	4	17
photo	1	18
traffic_hd	2	17
standard_hd	2	17
standard	3	19,16,15
photo	2	11,18
standard	1	19
photo	1	18
standard	2	19,14
photo	2	18
traffic_hd	2	14,10
photo	1	18
public_transport_hd	1	17
photo	2	18
standard_hd	4	17,11,6
traffic_hd	1	10
standard_hd	1	17
photo	1	19
standard_hd	1	17
standard	4	11,17,14
public_transport_hd	1	17
standard_hd	1	17
standard	1	8
standard_hd	1	17
standard	1	14
standard_hd	5	17,19
photo	2	12
standard	1	19
photo	1	13
public_transport_hd	1	17
photo	6	13
standard	2	16
public_transport_hd	2	17
standard	1	16
standard_hd	1	19
traffic_hd	1	7
standard_hd	3	19,16
traffic_hd	1	7
photo	1	17
traffic_hd	2	17,13
photo	3	17,15
traffic_hd	1	17
photo	7	17,15
standard_hd	1	18
photo	2	17,19
standard_hd	1	15
photo	3	17,19
standard_hd	1	17
photo	1	15
standard	1	16
standard_hd	1	17
standard	1	11
photo	2	17,13
public_transport_hd	2	17
standard	3	7,19
photo	1	18
standard_hd	1	16
public_transport_hd	1	17
photo	1	18
traffic	1	12
traffic_hd	2	18
standard_hd	1	16
standard	1	17
photo	3	18
standard	3	19,12
traffic_hd	1	9
photo	1	18
standard	1	17
standard_hd	1	16
photo	1	9
standard_hd	5	19,14,16
traffic_hd	1	18
standard_hd	4	11,18,16
standard	1	18
photo	1	18
standard_hd	1	15
standard	1	18
standard_hd	1	14
standard	1	14
photo	4	18
standard	2	14
photo	1	9
standard_hd	1	14
standard	3	17,18,19
photo	1	9
traffic_hd	1	18
photo	1	14
traffic_hd	1	9
public_transport_hd	1	18
photo	1	9
public_transport_hd	2	18
standard	1	19
public_transport_hd	1	18
photo	1	18
standard_hd	1	15
standard	2	17
public_transport_hd	1	18
standard_hd	1	16
standard	2	17
standard_hd	1	13
standard	1	19
standard_hd	1	13
standard	1	17
standard_hd	2	11,12
traffic_hd	2	18
standard	1	17
standard_hd	4	11,18,13
photo	1	12
standard_hd	2	15,13
standard	2	18
traffic_hd	1	18
standard	1	19
standard_hd	1	19
standard	2	19
photo	1	17
standard_hd	3	19,13
standard	1	19
photo	1	19
standard	1	19
standard_hd	1	13
standard	1	19
photo	1	10
standard_hd	4	17,15,16
public_transport_hd	1	18
standard_hd	2	19,16
standard	1	15
standard_hd	1	16
photo	1	10
standard_hd	2	16
photo	1	14
standard_hd	3	18
standard	2	19
standard_hd	1	18
traffic	1	8
standard_hd	1	15
standard	1	19
standard_hd	1	18
standard	1	19
standard_hd	2	17,18
standard	1	18
standard_hd	6	17,18,15
photo	1	19
standard	1	12
photo	3	17
standard	1	19
photo	1	17
standard_hd	3	18
traffic_hd	1	18
standard	2	19,12
standard_hd	3	18,19,12
photo	1	19
standard_hd	1	12
photo	6	11,19,14
standard	1	13
standard_hd	4	5,18
traffic_hd	1	14
standard_hd	3	11,15,16
photo	2	14
standard	1	13
standard_hd	1	15
standard	1	13
photo	2	11,19
standard	3	17,19,12
photo	1	19
standard	2	17,12
standard_hd	1	19
standard	7	17,19,16
photo	1	11
standard	2	19,16
photo	1	18
standard	1	19
photo	1	15
standard_hd	2	6,18
photo	3	11,18,15
standard	1	19
standard_hd	1	14
standard	1	19
standard_hd	1	16
standard	1	13
standard_hd	1	16
standard	1	19
standard_hd	1	15
standard	1	19
standard_hd	2	14,10
traffic_hd	1	19
photo	1	11
standard_hd	2	18,15
traffic_hd	2	19
standard	4	17,19
traffic_hd	1	18
standard	1	19
traffic_hd	1	18
standard	1	15
traffic_hd	2	11,18
standard	1	19
standard_hd	1	18
traffic_hd	1	11
standard_hd	2	17,10
standard	1	15
standard_hd	1	10
standard	1	15
standard_hd	1	18
traffic_hd	1	18
standard	1	5
traffic_hd	1	18
standard	1	15
standard_hd	1	17
traffic	1	18
standard_hd	1	17
standard	4	18,19,15
standard_hd	1	13
standard	2	18
traffic_hd	1	12
standard_hd	3	11,13
photo	1	11
standard	1	19
photo	5	18
standard_hd	3	17,8,19
photo	1	15
standard_hd	1	17
traffic_hd	1	18
photo	5	17,18,15
traffic_hd	1	14
standard	1	13
standard_hd	1	19
photo	3	18,15
standard	2	16,13
photo	1	18
standard_hd	1	13
traffic_hd	1	18
photo	1	18
standard	1	19
traffic_hd	1	18
standard	1	14
standard_hd	1	12
traffic_hd	1	14
standard_hd	3	6,12
photo	1	12
standard_hd	6	18,12
standard	1	16
photo	1	18
standard	1	19
standard_hd	1	17
standard	1	18
standard_hd	5	17,19,14
standard	2	14
photo	2	18,19
standard	1	19
traffic_hd	1	18
standard	2	19
photo	1	18
standard	2	19
traffic_hd	1	7
standard	5	18,14
traffic_hd	3	7,13
standard	1	19
standard_hd	2	14
photo	1	19
standard	4	19,14
standard_hd	2	17,15
standard	1	16
photo	1	19
standard_hd	1	15
photo	2	16
standard	4	15,16,19
standard_hd	2	14
photo	1	12
standard	2	15,13
photo	1	19
standard	1	18
standard_hd	1	17
standard	4	19,14
photo	2	19,14
standard_hd	2	17,15
standard	2	19,15
standard_hd	1	17
standard	2	11,19
standard_hd	1	17
standard	2	17,19
standard_hd	1	15
standard	2	17
traffic_hd	1	14
standard_hd	1	19
standard	1	17
standard_hd	1	19
photo	2	17
standard_hd	2	18,8
standard	2	19,14
standard_hd	1	19
standard	2	14,12
standard_hd	1	19
standard	2	17
standard_hd	1	17
standard	2	18,14
standard_hd	1	15
standard	1	18
traffic_hd	1	11
standard_hd	2	16
photo	1	19
standard	1	16
photo	2	19
standard_hd	3	16
traffic_hd	1	17
photo	1	19
standard	1	14
photo	5	17,19
standard	1	15
photo	6	17,18,19
standard	1	13
photo	1	12
standard	2	19,14
standard_hd	2	17
standard	1	14
standard_hd	1	17
traffic_hd	2	18,1
standard_hd	1	13
standard	1	19
traffic_hd	1	18
standard	1	15
standard_hd	6	16,13
standard	1	14
standard_hd	1	14
traffic_hd	1	0
standard_hd	4	19,16,10
photo	1	15
standard_hd	3	13.999407243244809,10,13
standard	1	16
photo	2	15
standard_hd	3	17,16
standard	2	15,12
photo	1	18
standard_hd	1	19
standard	1	14
standard_hd	2	19,13
standard	1	19
standard_hd	2	12,13
standard	2	16,13
standard_hd	4	16,12
standard	3	19,14
traffic_hd	1	11
standard	3	19,14
standard_hd	1	16
standard	1	16
standard_hd	2	17,11
standard	1	14
standard_hd	1	11
standard	1	19
standard_hd	3	11,19,13
standard	1	14
standard_hd	4	11,18,16
standard	1	14
standard_hd	2	18,13
photo	1	12
standard_hd	2	11
photo	1	17
standard_hd	2	15
standard	2	14,16
standard_hd	1	11
traffic_hd	2	11,8
standard_hd	1	16
photo	2	16
standard	1	14
standard_hd	1	11
traffic_hd	1	18
standard_hd	7	19,15
standard	1	12
standard_hd	1	15
traffic_hd	1	11
standard_hd	4	15
standard	1	14
standard_hd	5	15
photo	2	18,14
standard_hd	1	15
traffic_hd	1	18
photo	1	16
standard_hd	3	15,14,16
traffic_hd	1	11
standard	1	19
standard_hd	1	15
standard	2	15,12
standard_hd	1	19
standard	1	15
standard_hd	3	19,14,15
traffic_hd	1	18
standard	2	17,15
photo	1	19
standard_hd	1	19
photo	1	18
standard_hd	2	16
photo	2	17,18
traffic_hd	2	9
photo	1	17
standard_hd	1	14
standard	1	19
photo	1	14
standard_hd	2	14,12
photo	1	14
standard_hd	2	19,12
standard	1	14
traffic_hd	1	16
standard	1	15
standard_hd	3	19,14,16
photo	2	14
standard	1	10
photo	1	18
standard	2	14
standard_hd	5	6,14,12
traffic_hd	1	13
standard	1	19
standard_hd	3	14,16,13
traffic	1	8
standard	1	15
standard_hd	4	5,4,16,14
standard	1	19
standard_hd	5	16,14
standard	1	14
standard_hd	3	15,14
traffic	1	8
standard_hd	1	19
standard	1	19
standard_hd	4	17,14,13
standard	1	19
standard_hd	1	13
standard	1	15
photo	1	17
standard	1	15
standard_hd	1	15
traffic_hd	1	13
standard_hd	4	18,15
standard	4	15,19
photo	1	19
standard	1	15
standard_hd	1	12
standard	1	19
standard_hd	1	12
standard	1	14
traffic_hd	1	19
standard_hd	2	17,19
standard	1	14
standard_hd	5	11,19,17
photo	1	19
standard	3	17,15,14
standard_hd	1	11
standard	2	19
standard_hd	1	5
standard	1	19
standard_hd	1	19
traffic_hd	1	16
standard	2	17,19
standard_hd	2	18,13
photo	1	17
standard	1	15
standard_hd	2	11,19
standard	1	19
standard_hd	1	11
traffic_hd	1	17
standard	1	13
traffic_hd	1	17
standard_hd	1	17
photo	3	19
standard	1	11
traffic_hd	2	17,18
standard	2	15,10
standard_hd	2	5,19
standard	1	19
standard_hd	3	19,12
standard	1	17
traffic_hd	1	9
traffic	1	15
standard	1	11
photo	1	19
